name,website,battery,weight,laptop_brand,monitor_size,ram_capacity,ram_type,HDD_capacity,SSD_capacity,cpu_brand,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,price
Sạc Macbook Hyperjuice Ultimate Charger 110W DUAL WIRELESS CHARGER (HJ-UC5-W15LR),thinkpro,39.3,1.4,Other,14.0,8.0,DDR4,0.0,512.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,139.0,3590000.0
Ghế Công Thái Học HyperWork HW01 (Arm 3D - Gray),thinkpro,58.0,1.743,Other,14.4,16.0,,0.0,512.0,Intel,4.0,8.0,66.4,66.0,73.0,57.0,139.0,3790000.0
Màn hình chuyên đồ hoạ ViewSonic VG2755-2K (QHD/IPS/60Hz),thinkpro,39.3,1.7,Other,15.6,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,0.0,0.0,0.0,0.0,121.0,7790000.0
Asus Vivobook X515 (Chính Hãng) (X515MA-BR481T),thinkpro,37.0,,Asus,15.6,4.0,DDR4,1024.0,256.0,Intel,2.0,2.0,20.9,21.0,27.0,15.0,112.0,7990000.0
ASUS Vivobook X515JA,thinkpro,37.0,1.8,Asus,15.6,8.0,,0.0,256.0,Intel,2.0,4.0,90.6,91.0,88.0,75.0,112.0,8990000.0
Lenovo IdeaPad 3 14 Intel (Nhập khẩu) (81WD00U10US),thinkpro,35.0,1.6,Lenovo,14.0,4.0,DDR4,0.0,128.0,Intel,2.0,4.0,90.6,91.0,88.0,75.0,5.0,8990000.0
Surface Pro 6,thinkpro,45.0,0.77,Microsoft,12.3,8.0,LPDDR3,0.0,128.0,Intel,4.0,8.0,53.1,53.0,58.0,41.0,9.64,9990000.0
Lenovo ThinkPad T480,thinkpro,48.0,1.6,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,51.6,52.0,56.0,41.0,9.64,9990000.0
HP ZBook Studio G3,thinkpro,64.0,2.0,HP,15.6,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,71.8,72.0,75.0,58.0,17.4,9990000.0
Dell Inspiron 15 3501,thinkpro,42.0,1.96,Dell,15.6,8.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,9990000.0
Dell Latitude 5410,thinkpro,42.0,1.52,Dell,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,53.4,53.0,59.0,42.0,112.0,9990000.0
Lenovo Ideapad 5 14IIL05,thinkpro,44.5,1.39,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,9990000.0
HP 14s Notebook,thinkpro,42.0,1.46,HP,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,53.4,53.0,59.0,42.0,112.0,9990000.0
Asus Vivobook Flip 14 TP470 (Intel) (TP470EA-EC346W),thinkpro,42.0,1.5,Asus,14.0,4.0,,0.0,512.0,Intel,2.0,4.0,0.0,0.0,0.0,0.0,112.0,9990000.0
Dell Vostro 15 3500 Intel gen 11 (Chính Hãng) (V5I3001W-Black),thinkpro,42.0,1.96,Dell,15.6,8.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,5.0,9990000.0
Acer Aspire 3 15 Intel gen 11 (Chính hãng) (A315-58-35AG),thinkpro,36.7,1.7,Acer,15.6,4.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,9990000.0
Lenovo ThinkPad X1 Carbon Gen 5,thinkpro,57.0,1.13,Lenovo,14.0,8.0,LPDDR3,0.0,256.0,Intel,2.0,4.0,40.4,40.0,46.0,29.0,4.26,9990000.0
Dell Latitude 3520 Intel (Chính hãng) (70251603),thinkpro,41.0,1.79,Dell,15.6,4.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,10390000.0
Lenovo Ideapad 1 (Chính hãng) (81VT006FVN),thinkpro,32.0,,Lenovo,11.6,4.0,DDR4,0.0,256.0,Intel,4.0,4.0,0.0,0.0,0.0,0.0,1.43,10490000.0
Cổng chuyển HyperDriver Gen 2 16-IN-1 (HD-G2TB3),thinkpro,80.0,2.14,Other,15.0,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,78.8,79.0,81.0,73.0,76.2,10500000.0
MSI Modern 14 B11 (1028VN),thinkpro,39.0,1.3,MSI,14.0,8.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,10590000.0
Asus Vivobook 14 X413JA,thinkpro,42.0,1.4,Asus,14.0,4.0,DDR4,0.0,128.0,Intel,2.0,4.0,90.6,91.0,88.0,75.0,112.0,10990000.0
MSI Modern 14 B10MW-640 Ultra Thin,thinkpro,39.0,1.18,MSI,14.0,8.0,,0.0,128.0,Intel,4.0,8.0,53.4,53.0,59.0,42.0,112.0,10990000.0
Lenovo IdeaPad 3 14 (Intel Gen 11) (82H700D6VN),thinkpro,38.0,1.41,Lenovo,14.0,8.0,,0.0,512.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,11390000.0
Lenovo IdeaPad 3 15 (Intel Gen 11) (82H800M5VN),thinkpro,38.0,1.65,Lenovo,15.6,8.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,11390000.0
Laptop Hp 340s G7 (2G5B7PA),thinkpro,41.0,,HP,14.0,4.0,DDR4,0.0,256.0,Intel,2.0,4.0,90.6,91.0,88.0,75.0,112.0,11890000.0
Dell Latitude 7400,thinkpro,60.0,1.4,Dell,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,59.6,60.0,66.0,47.0,9.64,11990000.0
Acer Aspire 3 15 Intel (Chính hãng) (A315-57G-524Z),thinkpro,36.0,,Acer,15.6,4.0,DDR4,1.0,512.0,Intel,2.0,4.0,51.1,51.0,57.0,41.0,15.0,11990000.0
Dell Inspiron 3505,thinkpro,42.0,,Dell,15.6,8.0,DDR4,0.0,256.0,AMD,4.0,8.0,48.8,49.0,52.0,42.0,8.98,11990000.0
Lenovo ThinkPad T480s,thinkpro,57.0,1.3,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,17.6,18.0,20.0,12.0,14.7,11990000.0
Asus Zenbook Q408UG,thinkpro,67.0,,Asus,14.0,8.0,,0.0,256.0,AMD,6.0,12.0,69.5,69.0,71.0,63.0,21.5,11990000.0
Lenovo ThinkPad X390,thinkpro,48.0,1.3,Lenovo,13.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,59.6,60.0,66.0,47.0,9.64,11990000.0
Asus Vivobook F412DA,thinkpro,37.0,,Asus,14.0,8.0,DDR4,0.0,256.0,AMD,2.0,4.0,38.2,38.0,44.0,28.0,121.0,11990000.0
Acer Aspire 3 15 Intel (Chính hãng) (NX.HS5SV.001),thinkpro,36.0,1.9,Acer,15.6,4.0,DDR4,0.0,256.0,Intel,2.0,4.0,90.6,91.0,88.0,75.0,5.0,11990000.0
ASUS Vivobook 15 D515 (D515DA-EJ711T),thinkpro,,,Asus,15.6,4.0,DDR4,0.0,512.0,AMD,2.0,4.0,38.2,38.0,44.0,28.0,121.0,12490000.0
Lenovo Ideapad 3 15 (Intel),thinkpro,35.0,,Lenovo,15.6,8.0,DDR4,0.0,256.0,Intel,2.0,4.0,46.9,47.0,55.0,34.0,112.0,12490000.0
HP Pavilion 15 (Intel Gen 11) (4P5G7PA),thinkpro,41.0,1.75,HP,15.6,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,12790000.0
Dell Inspiron 14 5410,thinkpro,54.0,1.44,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,73.0,73.0,80.0,62.0,139.0,12990000.0
Lenovo ThinkPad T570,thinkpro,,1.97,Lenovo,15.6,8.0,DDR3L,0.0,256.0,Intel,2.0,4.0,49.6,50.0,57.0,36.0,4.83,12990000.0
Lenovo Ideapad 3 15 (AMD),thinkpro,35.0,,Lenovo,15.6,4.0,DDR4,0.0,256.0,AMD,2.0,4.0,38.2,38.0,44.0,28.0,121.0,12990000.0
AVITA PURA 14,thinkpro,36.7,1.35,AVITA,14.0,8.0,,0.0,256.0,Intel,4.0,8.0,74.2,74.0,79.0,60.0,1.58,12990000.0
Xiaomi RedmiBook 15 (JYU4505AP),thinkpro,48.0,1.8,Xiaomi,15.0,8.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,15.0,12990000.0
Surface Laptop Go,thinkpro,39.0,1.11,Microsoft,12.0,8.0,,0.0,128.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,12990000.0
Lenovo IdeaPad 5 15,thinkpro,57.0,1.66,Lenovo,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,51.1,51.0,57.0,41.0,5.0,12990000.0
Dell Inspiron 15 5505,thinkpro,53.0,1.83,Dell,15.0,16.0,DDR4,0.0,512.0,AMD,6.0,6.0,71.4,71.0,73.0,59.0,48.1,12990000.0
Dell XPS 13 7390,thinkpro,52.0,1.29,Dell,13.3,8.0,LPDDR3,0.0,256.0,Intel,4.0,8.0,53.4,53.0,59.0,42.0,9.64,12990000.0
Dell Inspiron 15 5502,thinkpro,53.0,1.7,Dell,15.6,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,12990000.0
Samsung Galaxy Book Flex 2 Alpha,thinkpro,54.0,1.18,Samsung,13.3,8.0,,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,12990000.0
