,cpu_name,number_of_core,number_of_thread,avg_bench,gamming,desktop,workstation
0,0,0,0,0.0,0.0,0.0,0.0
1,Intel Core i7-12700H,14,20,98.1,98.0,100.0,104.0
2,Intel Core i7-1260P,12,16,73.8,74.0,80.0,70.0
3,Intel Core i5-1235U,10,12,63.6,64.0,72.0,59.0
4,AMD AMD Ryzen™ 7 6800H,8,16,78.1,78.0,81.0,77.0
5,AMD Ryzen 6000,6,12,86.3,86.0,89.0,80.0
6,AMD Ryzen 7 Pro 6850U,8,16,76.8,77.0,81.0,75.0
7,Intel® Core™ i7-1280P,14,20,80.7,81.0,87.0,81.0
8,Intel Core i5-1235U,10,12,63.6,64.0,72.0,59.0
9,AMD Ryzen™ 7 5825U,8,16,72.4,72.0,75.0,69.0
10,Intel Core i5-1245U,10,12,72.3,72.0,81.0,67.0
11,AMD Ryzen 5 5600H,6,12,73.0,73.0,76.0,67.0
12,Intel Core i5-1240U,10,12,64.7,65.0,74.0,58.0
13,Intel Core i5 1135G7,4,8,60.2,60.0,67.0,50.0
14,Intel Core i7 12th,12,20,114.0,114.0,114.0,126.0
15,Intel Core i7-12850H,10,16,91.7,92.0,95.0,98.0
16,AMD Ryzen 9 6900HS Mobile Processor,8,16,76.2,76.0,79.0,74.0
17,Intel Core™ i7-1260P,12,16,73.8,74.0,80.0,70.0
18,Intel Core i5 1235U,10,12,63.6,64.0,72.0,59.0
19,Intel Core i5 11300H,4,8,66.4,66.0,73.0,57.0
20,AMD Ryzen R5-5625U,6,12,68.5,69.0,71.0,62.0
21,Intel Celeron N4020,2,2,20.9,21.0,27.0,15.0
22,Intel Core i3 1005G1,2,4,90.6,91.0,88.0,75.0
23,Intel Core i5 8250U,4,8,53.1,53.0,58.0,41.0
24,Intel Core i5 8350U,4,8,51.6,52.0,56.0,41.0
25,Intel Xeon E3 1545M,4,8,71.8,72.0,75.0,58.0
26,Intel Core i3 1115G4,2,4,49.6,50.0,61.0,38.0
27,Intel Core i5 10210U,4,8,53.4,53.0,59.0,42.0
28,Intel Core i5 1035G1,4,8,51.1,51.0,57.0,41.0
29,Intel Core i3 1135G4,2,4,49.6,50.0,61.0,38.0
30,Intel Core i3-1115G4,2,4,49.6,50.0,61.0,38.0
31,Intel Core i5 6300U,2,4,40.4,40.0,46.0,29.0
32,Intel Celeron N5030,4,4,0.0,0.0,0.0,0.0
33,Intel Core i7 10875H,8,16,78.8,79.0,81.0,73.0
34,Intel Core i5-10210U,4,8,53.4,53.0,59.0,42.0
35,Intel Core i7 8665U,4,8,59.6,60.0,66.0,47.0
36,Intel Core i5 1035G1,4,8,51.1,51.0,57.0,41.0
37,AMD Ryzen 3 3450U,4,8,48.8,49.0,52.0,42.0
38,Intel Core i7 8550U,4,8,17.6,18.0,20.0,12.0
39,AMD Ryzen 5 5500U,6,12,69.5,69.0,71.0,63.0
40,AMD Ryzen 3 3250U,2,4,38.2,38.0,44.0,28.0
41,Ryzen Ryzen 3 3250U,2,4,38.2,38.0,44.0,28.0
42,Intel Core i3 10110U,2,4,46.9,47.0,55.0,34.0
43,Intel Core i5-1135G7,4,8,60.2,60.0,67.0,50.0
44,Intel Core i 5 11320H,4,8,73.0,73.0,80.0,62.0
45,Intel Intel Core I7-7600U,2,4,49.6,50.0,57.0,36.0
46,Intel® Core i5-8279U,4,8,74.2,74.0,79.0,60.0
47,AMD Ryzen 5 4500U,6,6,71.4,71.0,73.0,59.0
48,Intel Core i3 Tiger Lake - 1115G4,2,4,49.6,50.0,61.0,38.0
49,AMD Ryzen 5 3500U,4,8,48.1,48.0,52.0,40.0
50,Intel Core i3 1220P,10,12,71.4,71.0,78.0,70.0
51,Intel Core i3-1215U,6,8,68.5,68.0,78.0,59.0
52,Intel Core i7 10510U,4,8,56.4,56.0,62.0,44.0
53,Intel Core i3 1215U,6,8,68.5,68.0,78.0,59.0
54,Intel Core i3 1115G4,4,4,49.6,50.0,61.0,38.0
55,AMD Ryzen 7 6800H,8,16,78.1,78.0,81.0,77.0
56,Intel Core i5 1035G7,4,8,57.7,58.0,63.0,47.0
57,AMD Ryzen 5 3580U Microsoft Surface Edition,4,8,48.1,48.0,52.0,40.0
58,Intel Core i5-1155G7,4,8,69.7,70.0,78.0,57.0
59,Intel Core i5 11320H,4,8,73.0,73.0,80.0,62.0
60,Intel Core i3 1125G4,4,8,65.5,65.0,72.0,55.0
61,Intel Core i3 1215U,6,8,68.5,68.0,78.0,59.0
62,AMD Ryzen 3 4300U,4,4,68.0,68.0,70.0,54.0
63,Intel Core i3 1115G3,2,4,49.6,50.0,61.0,38.0
64,AMD Ryzen 5-5625U,6,12,70.3,70.0,73.0,64.0
65,AMD Ryzen 5500U,6,12,69.5,69.0,71.0,63.0
66,Intel Core i7 1165G7,4,8,63.2,63.0,71.0,52.0
67,Intel Core i5 1155G7,4,8,69.7,70.0,78.0,57.0
68,AMD Ryzen 7 3700U,4,8,49.4,49.0,53.0,41.0
69,Intel Core i5-11300H,2,4,66.4,66.0,73.0,57.0
70,Intel Core i5 8365U,4,8,57.3,57.0,63.0,45.0
71,Intel Core i7 8565U,4,8,40.3,40.0,41.0,27.0
72,AMD Ryzen 3 5300U,4,8,66.3,66.0,69.0,57.0
73,AMD Ryzen™ 5 5625U,6,12,70.3,70.0,73.0,64.0
74,AMD Core i5 1135G7,4,8,60.2,60.0,67.0,50.0
75,AMD Ryzen™ 5 6600H,6,12,76.8,77.0,81.0,72.0
76,AMD Ryzen 7 5700U,8,16,72.3,72.0,74.0,69.0
77,Intel Core i7-1165G7,4,8,63.2,63.0,71.0,52.0
