,name,cpu,ram,monitor,gpu,memory,battery,connection,weight,price
0,0,0,0,0,0,0,10WHr,0,0,0
748,Lenovo ThinkPad E15 Gen 4,0,0,0,0,0,10WHr,0,0,0
749,Lenovo IdeaPad Gaming 3i Gen 7,0,0,0,0,0,10WHr,0,0,0
750,Lenovo ThinkPad P15v Gen 3,0,0,0,0,0,10WHr,0,0,0
751,Lenovo Legion S7 Gen 7,0,0,0,0,0,10WHr,0,0,0
752,Lenovo ThinkPad T15p Gen 3,0,0,0,0,0,10WHr,0,0,0
753,Lenovo ThinkBook 15 Gen 4,0,0,0,0,0,10WHr,0,0,0
754,Lenovo IdeaPad Gaming 3 Gen 7,0,0,0,0,0,10WHr,0,0,0
755,Lenovo IdeaPad Slim 3i Gen 7,0,0,0,0,0,10WHr,0,0,0
756,Lenovo Legion 7 Gen 7,0,0,0,0,0,10WHr,0,0,0
757,Lenovo Legion 7i Gen 7,0,0,0,0,0,10WHr,0,0,0
758,Lenovo IdeaPad Slim 5i Gen 7,0,0,0,0,0,10WHr,0,0,0
759,Lenovo ThinkPad X13 Gen 3,0,0,0,0,0,10WHr,0,0,0
763,Dell G16 Gaming 7620 (2022),"Intel Core i7-12700H, 14 nhân, 20 luồng","16GB, DDR5, 4800 MHz","16"", 2560 x 1600 px, WVA, 165 Hz",NVIDIA GeForce RTX 3050 Ti,SSD 1024GB,86WHr,"1 x Type-C, 3 x USB-A, Thunderbolt",2.7 kg,0
770,Lenovo ThinkPad T14 Gen 3 (Intel),0,0,0,0,0,10WHr,0,0,0
771,Lenovo ThinkBook Plus Gen 3,0,0,0,0,0,10WHr,0,0,0
772,Lenovo IdeaPad Slim 3 Gen 7,0,0,0,0,0,10WHr,0,0,0
823,Dell Gaming G15 5521,0,0,0,0,0,10WHr,0,0,0
910,ASUS Zenbook Pro 16X OLED UX7602 (UX7602ZM-ME107W),"Intel Core i7-1260P, 12 nhân, 16 luồng","16GB, DDR5, 5200 MHz","17"", 2560 x 1600 px, IPS, Chống chói",Intel Iris Xe Graphics,SSD 256GB,80WHr,"2 x Type-C, 2 x USB-A, Thunderbolt",1.35 kg,0
1015,Dell Alienware m17 R5,0,0,0,0,0,10WHr,0,0,0
747,Lenovo IdeaPad 1 Gen 7,0,0,0,0,0,10WHr,0,0,0
1016,Dell Latitude 7330 2-in-1,"Intel Core i5-1235U, 10 nhân, 12 luồng","16GB, DDR4, 3200 MHz","13.3"", 1920x1080 px, WVA, Chống chói, Cảm ứng",Intel Iris Xe Graphics,SSD 256GB,58WHr,"2 x Type-C, 1 x USB-A, Thunderbolt",1.36 kg,0
746,Lenovo IdeaPad 1i Gen 7,0,0,0,0,0,10WHr,0,0,0
715,Dell Inspiron 16 Plus 7620,0,0,0,0,0,10WHr,0,0,0
340,Microsoft Surface Pro 9,"Intel Core i5-1235U, 10 nhân, 12 luồng","8GB, LPDDR5","13"", 2880x1920 px, IPS, Cảm ứng, 120 Hz",Intel Iris Xe Graphics,SSD 128GB,47.7WHr,"2 x Type-C, Thunderbolt",0.879 kg,0
349,ASUS TUF Gaming A17 (2022),"AMD AMD Ryzen™ 7 6800H, 8 nhân, 16 luồng","8GB, DDR5, 4800 MHz","17.3"", 1920 x 1080 px, IPS, anti-glare, 62.50% sRGB, 144 Hz",NVIDIA® GeForce RTX™ 3050,SSD 512GB,56WHr,"3 x Type-C, 2 x USB-A",2.6 kg,0
357,Lenovo ThinkPad Z13 (ThinkPadZ1301NS),"AMD Ryzen 6000, 6 nhân, 12 luồng",16GB,"13.3"", 1920 x 1200 px, IPS, 100% sRGB, 60 Hz",AMD Radeon Graphics,SSD 512GB,10WHr,2 x Type-C,0,0
358,Acer Swift 3 2022 (Intel),0,0,0,0,0,10WHr,0,0,0
359,Lenovo ThinkBook 16P Gen 3,0,0,0,0,0,10WHr,0,0,0
360,Lenovo ThinkBook 14P Gen 3,0,0,0,0,0,10WHr,0,0,0
361,Dell Insprion 16 7620 2-in-1,0,0,0,0,0,10WHr,0,0,0
363,Lenovo Legion 5i Pro Gen 7 (2022),0,0,0,0,0,10WHr,0,0,0
379,Lenovo ThinkPad T16,"AMD Ryzen 7 Pro 6850U, 8 nhân, 16 luồng","16GB, LPDDR5, 6400 MHz","1200 x 1920 px, IPS, Chống chói",AMD Radeon 660M,SSD 512GB,52.5WHr,"2 x Type-C, 2 x USB-A",1.64 kg,0
99,Lenovo Legion 5 Gen 6,0,0,0,0,0,10WHr,0,0,0
393,Lenovo Yoga 9i Gen 7 (2022),0,0,0,0,0,10WHr,0,0,0
424,Lenovo Legion Slim 7i Gen 7 (2022),0,0,0,0,0,10WHr,0,0,0
674,Lenovo ThinkPad P14s Gen 3,"Intel® Core™ i7-1280P, 14 nhân, 20 luồng","16GB, DDR4, 3200 MHz","14"", 1920 x 1200 px, IPS, Chống chói",Integrated Intel® Iris® Xe Graphics,SSD 512GB,57WHr,"2 x Type-C, 3 x USB-A",0,0
678,Lenovo ThinkPad X13s (Snapdragon),0,0,0,0,0,10WHr,0,0,0
680,Microsoft Surface Laptop 5,Intel Core i5-1235U,"8GB, LPDDR5x","13.5"", 2256 x 1504 px, IPS, Cảm ứng",Intel Iris Xe Graphics,SSD 256GB,10WHr,"1 x Type-C, 1 x USB-A, Thunderbolt",1.272 kg,0
681,Lenovo Yoga Slim 7 Pro Gen 7 (2022),0,0,0,0,0,10WHr,0,0,0
682,Dell Vostro 7620,"Intel Core i7-12700H, 14 nhân, 20 luồng","8GB, DDR5, 4800 MHz","16"", 1900 x 1200 px, WVA, Chống chói, 60 Hz",NVIDIA® GeForce RTX™ 3050 Ti,SSD 512GB,56WHr,"1 x Type-C, 2 x USB-A, Thunderbolt",1.96 kg,0
706,Lenovo Legion 5i 2022,0,0,0,0,0,10WHr,0,0,0
708,HP OMEN 17 (2022),0,0,0,0,0,10WHr,0,0,0
730,Lenovo ThinkPad P16s (Intel),0,0,0,0,0,10WHr,0,0,0
274,Dell Inspiron 14 5425,"AMD Ryzen™ 7 5825U, 8 nhân, 16 luồng","16GB, DDR4, 3200 MHz","14"", 1920x1200 px, WVA, Chống chói, 60 Hz",AMD® Radeon™ Graphics,SSD 512GB,54WHr,"1 x Type-C, 2 x USB-A",1.54 kg,0
1020,Lenovo Yoga Slim 9i Gen 7 (2022),0,0,0,0,0,10WHr,0,0,0
1028,Dell Latitude 9430 2-in-1,"Intel Core i5-1245U, 10 nhân, 12 luồng","16GB, LPDDR5, 5200 MHz","14"", 2560x1600 px, Cảm ứng",Intel Iris Xe graphics,SSD 256GB,60WHr,"2 x Type-C, 1 x USB-A, Thunderbolt",1.44 kg,0
1022,Dell Alienware x17 R2,0,0,0,0,0,10WHr,0,0,0
2069,Lenovo Yoga 6 2-in-1 Gen 7 (2022),0,0,0,0,0,10WHr,0,0,0
2065,Acer Swift 3 OLED,0,0,0,0,0,10WHr,0,0,0
2000,Dell Inspiron 15 3525,0,0,0,0,0,10WHr,0,0,0
