website,battery,weight,laptop_brand,monitor_size,ram_capacity,ram_type,HDD_capacity,SSD_capacity,cpu_brand,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,price
thinkpro,62.0,1.43,Lenovo,14.0,16.0,LPDDR5,0.0,512.0,AMD,6.0,12.0,76.8,77.0,81.0,72.0,121.0,23490000.0
laptop88,50.0,1.0,Asus,14.0,8.0,,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,139.0,19490000.0
thinkpro,80.0,2.5,Lenovo,16.0,32.0,DDR4,0.0,1024.0,AMD,8.0,16.0,78.2,78.0,81.0,76.0,121.0,79990000.0
laptop88,,,LG,17.0,16.0,LPDDR5,0.0,1024.0,Apple,12.0,20.0,114.0,114.0,114.0,126.0,139.0,45990000.0
laptop88,56.5,1.0,Lenovo,14.0,16.0,LPDDR5,0.0,512.0,Intel,,,,,,,,22990000.0
laptop88,76.0,1.0,Asus,14.0,32.0,DDR5,0.0,1024.0,Intel,,,,,,,,53690000.0
laptop88,80.0,2.0,Other,15.6,8.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,25990000.0
thinkpro,62.0,1.78,Razer,14.0,16.0,DDR4,0.0,1024.0,AMD,8.0,16.0,78.2,78.0,81.0,76.0,112.0,59990000.0
laptop88,48.0,2.0,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,,,,,,,53.7,17990000.0
thinkpro,52.0,1.69,MSI,15.6,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.9,61.0,69.0,51.0,139.0,34990000.0
laptop88,,,HP,16.1,16.0,DDR5,0.0,512.0,AMD,14.0,20.0,98.1,98.0,100.0,104.0,58.5,30990000.0
laptop88,56.0,1.0,Asus,13.4,16.0,DDR5,0.0,1024.0,Intel,14.0,20.0,100.0,100.0,103.0,106.0,58.0,55490000.0
thinkpro,56.0,2.2,Asus,15.6,8.0,,0.0,512.0,AMD,8.0,16.0,78.1,78.0,81.0,77.0,121.0,42990000.0
laptop88,,,Asus,16.0,24.0,DDR4,0.0,1024.0,AMD,8.0,16.0,90.7,91.0,92.0,91.0,88.6,46990000.0
laptop88,41.0,1.0,HP,15.6,4.0,DDR4,0.0,512.0,AMD,4.0,8.0,65.5,65.0,72.0,55.0,112.0,12990000.0
thinkpro,42.0,0.8,Lenovo,13.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,56.4,56.0,62.0,44.0,9.64,28490000.0
laptop88,60.0,2.0,Lenovo,15.6,8.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,23790000.0
